"Product Name"," Product Code"," Expected"," Counted"
"Rupchada Oil 5L",8941052011083,12,
"Pran Coco Candy",841165123476,580,
Fruitfill,841165116492,166,
"Meridian Chips(Real Thai Shrimp)",8850155011022,24,
"Bombay Potato Crackers",890979000053,72,
"Alooz Potato Chips",890405001258,48,
"Bombay Sweets BBQ Chanachur 35gm",890979000398,24,
"Bombay Sweets Jhaal Chanachur 35gm",890979000244,24,
"Bombay Sweets Dalmoot 35gm",890979000503,24,
"Bombay Sweets Jhalmuri 30gm",890974501036,24,
"Mama Instant Cup Shrimp Flavor 62gm",8941181000347,4,
"Mama Instant Cup Chicken Flavor 62gm",8941181000330,4,
"Mama Hot Spicy Noodles 8pack",8941181000163,3,
"Mama Shrimp Noodles 8Pack",8941181000149,2,
"Mama Chicken Flavour Noodles 8Pack",8941181000132,1,
"Jet 200gm",8941183001045,4,
"Jet 400gm",8941183001052,4,
"Ujala Neel 50ml",8941183002318,12,
"Fay Air Fresheners 300ml",8941183005142,4,
"Olympic Chokito",745114131263,216,
"Olympic Pulse Masala",745114130303,80,
"Olympic Pulse Pineapple Candy",812140856023,83,
"Himalaya Aloe Vera Facewash 100ml",8908008142062,3,
"Himalaya Strawberry Facewash 100ml",8908008142130,3,
"Himalaya Neem Facewash 100ml",8908008142000,3,
"Bashundhara Oil 1L",8941193004524,6,
"Bashundhara Oil 2L",8941193004531,9,
"Bashundhara Ata 2kg",8941193000526,14,
"Dekko Fried Peas",8510120010015,24,
"Deko Salt Biscuit",8946565136735,6,
"Deko Horlics Cookies 330gm",8946565147007,7,
"Radhuni Holud 200gm",8941100510032,12,
"Radhuni Holud 100gm",8941100510025,12,
"Radhuni Holud 50gm",8941100510018,12,
"Radhuni Morich 200gm",8941100510117,12,
"Radhuni Morich 100gm",8941100510100,12,
"Radhuni Jira 100gm",8941100510261,6,
"ACI Salt 1kg",8941196220037,22,
"ACI Ata 2kg",8153003000361,6,
"Lifebuoy Handwash Refill Pack 170ml",8941102310289,48,
"Trix Lemon 500ml",8941100280607,6,
"Vim Dish wash Liquid 500ml",8941100659670,6,
"Teer Oil 5L",812546159230,4,
"Teer Oil 2L",812546159124,4,
"Teer Oil 1L",812546159100,4,
"Vim Bar 300gm",8941100619452,112,
"Vim Bar 100gm",8941100619445,36,
"Lux Rose Soap 100gm",8941102310357,6,
"Lux Jasmin Soap 100gm",8941102310364,5,
"Lifebuoy 100gm Soap",8941100657799,18,
"Dettol Original 75 gm",8941100283165,9,
"Meril Milk & Pogment Soap 100gm",8941100500149,5,
"Meril Milk Bar Soap",8941100501726,5,
"Wheel 1kg",8941100657171,18,
"Wheel 500gm",8941100657188,24,
"Surf Excel 500gm",8941102310159,34,
"Lal Chini 1kg",1000000000001,11,
"Brooke Bond Taaza Tea 200gm",8941100610312,6,
"Ispahani Mirzapur Tea 400gm",8941193314555,4,
"Ispahani Mirzapur Tea 100gm",8941193314531,12,
"The Chef Vinegar 650ml",841165123308,3,
"BD Vinegar 650ml",8940356162132,3,
"Parachut Oil 240ml",1000000000003,12,
"Parachut 120ml",1000000000002,12,
"Bashundhara Toilet Tissue",8941193067024,36,
"Bashundhara Facial Tissue",8941193073162,12,
"Bashundhara Napkin",8941193041116,12,
"Maggi Noodles 12Pack",8941100295168,14,
"Maggi Noodles 8Pack",8941100294420,18,
"Maggi Noodles 4Pack",8941100294413,18,
"Macaroni Pasta",6291047073193,2,
"Classic Pasta",6291047073179,2,
"Screw Pasta",6291047073209,2,
"Pran Hot Tomato Sauce 340gm",831730002268,4,
"Chashi Chinigura Chal 1kg",8941100512104,5,
"Cocola Egg Noodles",8941155013502,6,
"Colgate Classic 200g",8901314305602,2,
"Colgate  Blue Gel Max Fresh Toothpaste 150g",8901314309921,2,
"Colgate Active Salt Toothpaste 2000g",8901314009081,2,
"Closeup Gel 160gm",8941102310487,6,
"Closeup Gel 100gm",8941102310470,6,
"Closeup Gel 45gm",8941102310494,6,
"Closeup Red Gel 145gm",8941100658888,3,
"Pepsodent 100g",8941100652503,14,
"Pepsodent 45g",8941100659106,14,
"Fit Crackers 70gm",846656019665,24,
"Pran Toast 350gm",831730006907,6,
"Lexus Biscuit 240gm",745114130037,12,
"Sunsilk Keratin Yoghurt Shampoo 375ml",8941102310562,2,
"Sunsilk Soya Vitamin Complex Shampoo 375ml",8941100659601,2,
"Sunsilk Natural Oil Shampoo 375ml",8941100659595,2,
"Vaseline Lotion 100ml",8941100656587,6,
"Vasline Pure Petrolium Jelly 9ml",8941100615621,48,
"Ponds Lotion 100ml",8941100656020,6,
"Bombay Sweets Chanachur",890979000046,9,
"Ruchi Jhal Chanachur 350gm",8941100513224,15,
"Ruchi Bar-B-Q Chanachur 300gm",8941100513217,15,
"Ring Chips 20mg",890975001016,24,
"Mr. Twist Chips",909790009685,24,
"Center Fresh Gum",8944000195064,194,
"Chuchu Pant Style Diaper M 5 pc",8944000294927,24,
"Dan Cake Fruit Cake",745125253503,1,
"Dan Cake Marble Cake",8946000009020,1,
"Dan Cake Vanilla Plain Cake",8946000009860,1,
"Dan Cake Chocolate Plain Cake",8946000009891,1,
"Nescafe Original 210gm",8992696522183,2,
"Nescafe Classic 100gm",7891000071786,2,
"Kitkat 27.5gm",8901058144345,28,
"Cadbury Dairy Milk 13gm",8901233030548,56,
Perk,8901233024042,60,
"Snikers 20g",40111308,26,
"Pringles Hot & Spicy 147gm",8886467100116,1,
"Pringles Sour Cream & Onion 147gm",8886467100086,1,
"Pringles Original 147gm",8886467100079,1,
"Pringles Saucy BBQ 147gm",8886467100109,1,
"Pringles Sour Cream & Onion 37gm",038000845529,2,
"Pringles Original 37gm",038000845512,2,
"Dairy Milk bd 32gm",1000000000009,24,
"Pepsodent 200g",8941100652497,3,
"Ponds Cold Cream",8941100656440,3,
"Ponds White Beauty Cream",8941100610695,3,
"Dettol Soap Cool 75g",8941100283141,1,
"Dettol Skincare 75gm",8941100283172,2,
"Dettol Original 30 gm",8941100283264,12,
"Saudi Arabia Joy",831730003562,12,
"Pure Laccha Semai 200gm",815300000137,4,
"Pran Premium Ghee 200",831730007423,5,
"Pran Premium Ghee 400",831730007416,5,
"Godrej Hair Color",10000000000011,35,
"Mr. Cookie 55gm",8941194002550,12,
"Haque Milk Marie Biscuit",8941194002888,5,
"Digestive Chocolate Biscuit 145gm",8941194003717,18,
"Digestive Regular Biscuit 145gm",8941194003816,6,
"Radhuni Shorishar Tel 1L",8941100512661,2,
"Radhuni Shorishar Tel 500ml",8941100512654,4,
"Radhuni Shorishar Tel 250ml",8941100512647,6,
"Aarong Dairy Milk 1L",8941159000591,8,
"Aarong Dairy Milk 500ml",8941159000522,8,
"Aarong Tok Doi 500gm",8941101010722,7,
"Fresh Full Cream 500gm",8301100701050,2,
"Fresh Full Cream 75gm",8301100701029,12,
"Fresh Mineral Water 500ml",8941161115030,24,
"Fresh Sugar 1kg",8941161103273,10,
"Little Fruitika 125ml",8941189605766,12,
"Fuitika 200ml",8941189605773,8,
"Aarong Butter 200gm",8941101010616,1,
"Bashundhara Hand Towel",8941193078518,8,
"Sensodyne Fresh Mint Toothpaste 150gm",8901571005659,3,
"Sensodyne Fresh Gel Toothpaste 150gm",8901571005666,3,
"Ispahani Mirzapur Tea Bag",8941193314036,3,
"Bashundhara Kitchen Towel",8941193078020,8,
"Meril Milk & Beli Soap 100gm",8941100501290,2,
"Meril Milk & Kiwi Soap 100gm",8941100500187,2,
"Lux Jasmin Soap 150gm",8941102310661,6,
"Vim Dish was powder 500gm",8941100619421,16,
"Spanisha Olive Oil 250ml",8410269996310,2,
"Johnson's Baby Soap 150g",8850007020271,6,
"Rok Floor Cleaner 900ml",200812060312,5,
"Ligion Active Gold Mehedi",8941147000053,6,
"Ligion Mehedi Pack",8941147000268,6,
"Ligion Glycerine 50gm",8941147001289,7,
"Ligion Glycerine 100gm",8941147001272,7,
"Shad Moyda 2kg",075162107220,6,
"Shad Brown Ata 1kg",075111101000,4,
"Ruchi Jhal Chanachur 35gm",8941100513149,12,
"Ruchi Jhal Chanachur 65gm",8941100513156,12,
"Ruchi Bar-B-Q Chanachur 35gm",8941100513170,12,
"Ruchi Muri",8941100513644,6,
"Ruchi Orange Jam",8941100514672,3,
"Chopstick Instant Noodles 8Pack",8941100515174,4,
"Sajeeb Isobgul Bhushi 45gm",8941170034179,12,
"Sajeeb Isobgul Bhushi 2gm",8941170034162,12,
"Kidzz Joy",8941170010746,12,
"Corn Flakes",8941170002086,1,
"Choko Crunch",8941170002109,1,
"Shezan Sweet Orange Jelly 440gm",8941170035480,2,
"Coke 250ml",8907525000114,52,
"Coke 600ml",8907525000169,24,
"Coke 1.25L",8907525000190,12,
"Sprite 1.25L",8907525040196,12,
"Marks Full Cream Powder 200gm",710535035087,6,
"Marks Full Cream Powder 500gm",710535035056,6,
"Ama Full Cream Milk Powder 20gm",571454415004,24,
"Dove Intensive Repair 170ml",8941100612033,2,
"Dove Hair Fall Rescue 170ml",8941100612057,2,
"Dove Nourishing Oil Care 170ml",8941100658079,2,
"Lifebuoy Handwash Lemon Refill Pack 170ml",8941100612620,6,
"Lifebuoy Handwash Cool fresh Refill Pack 170ml",8941102310746,24,
"Lifebuoy total 10 100gm Soap",8941102312382,12,
"Clinic Plus Shampoo 170ml",8941100619766,6,
"Sunsilk Shampoo 180ml",8941100659892,5,
"Sunsilk Hair Fall Shampoo 180ml",8941100659908,6,
"Sunsilk Shampoo 90ml",8941102311378,6,
"Clear Men Menthol 180ml",8941100659298,6,
"Nivea Soft M Cream 100ml",4005808890590,3,
"Nivea Soft M Cream 50ml",42207269,3,
"Nivea Soft M Cream 60ml",4005808160242,6,
"Axe Spray Black 17ml",8886467010118,4,
"Axe Spray Red 17ml",8886467010088,4,
"Axe Spray Blue 17ml",8886467010095,4,
"Rexona Roll on Men",4800888187918,4,
"Rexona Roll on Women",4800888158932,2,
"Nido 350gm",8941100292907,3,
"Maggi 62gm",8941100294406,12,
"Maggi 37gm",8941100294390,16,
"Maggi Thai Soup 35gm",8941100291351,36,
"Olympic Nutty Biscuit 100gm",811106134144,12,
"Foody Spicy Chicken Noodles 8 Pack",0745114130426,4,
"Aarong Butter 100gm",8941101010609,3,
"Tim Tim Orange Biscuits Standard",0745114130235,12,
"Tim Tim Orange Biscuits Minipack",811112336440,12,
"Olympic Wayfun",0745114131065,12,
"PediaSure Vanilla Jar 400gm",8904145911844,2,
"Horlicks Minipack 18gm",8940006100057,45,
"Horlicks 500gm Jar",8906105100244,3,
"Junior Horlicks 500gm",8906105100121,1,
"Women Horlicks 400gm",8941571003286,2,
Egg,1000000000012,600,
"Razzak Chal",1000000000013,50,
"Rashid Miniket Chal",1000000000014,50,
"Palki Najir",100000000015,25000,
"28 Chal",1000000000016,50,
"Mug Daal",1000000000017,15,
"Moshur Daal (Mota)",1000000000018,20,
"Moshur Daal (Chikon)",1000000000019,5,
"Deshi Peyaj",1000000000020,20,
"Boro Lal Peyaj",1000000000021,10,
"Boro Shada Peyaj",1000000000022,10,
Adaa,1000000000023,5,
Rashun,1000000000024,5,
"Booter Daal",1000000000025,5,
"Mashkolai Daal",1000000000027,3,
"Salt (Mota Dana) 1kg",1000000000029,12,
"Fevicol Super Glue 5gm",1000000000032,12,
"Oral Fresh Toothbrush",1000000000033,12,
"Power Guard Mosquito-Repellent Coil",1000000000034,40,
"Badam Bhaja",1000000000035,3,
Kalijira,1000000000037,1,
jira,1000000000038,3,
Jaytri,1000000000039,0.45,
"Kaju Badam",1000000000036,0.25,
"Soya Sauce",1000000000040,6,
"Peshta 250gm",1000000000041,250,
Elach,1000000000042,1000,
Kismis,1000000000043,1000,
"Alu Bokhara",1000000000044,1,
"Isobgul Bhushi (khola)",1000000000045,0.5,
Aloo,1000000000048,70,
"Matador Toothbrush",1000000000050,10,
Long,1000000000052,1,
Darchini,1000000000053,1,
"Kalo Morich",1000000000054,0.5,
Jayfol,1000000000055,0.5,
"Baking Powder",1000000000056,6,
Tejpata,1000000000057,1,
"Shada Morich",1000000000058,0.25,
"Kalo Elach",1000000000059,0.5,
"Shada Shorisha",1000000000060,1,
Soda,1000000000062,1,
Beshon,1000000000063,2,
"Tasting Salt 50gm",1000000000064,12,
Shorisha,1000000000061,1,
"Tape (Transparent)",1000000000065,12,
"Vaseline 50ml",8941100615638,9,
"Tibbet Ball Soap 130gm",8513690310172,12,
"Grand Choice Biscuit 100gm",013256830406,24,
"Wheel Bar Soap 130",8941100654798,36,
"Wheel 200gm",8941100657478,12,
"Surf Excel 200gm",8941102310142,6,
"Surf Excel 1Kg",8941102310128,6,
"Vim Dish wash Liquid 250ml New",8941100658819,3,
"Vim Dish wash Liquid 100ml",8941100654781,13,
"Brooke Bond Taaza Tea 50gm",8941100610299,26,
"Brooke Bond Taaza Tea 100gm",8941100610305,12,
"Brooke Bond Taaza Tea bag",8941100651322,2,
"Domex 250gm",8941100610503,12,
"Vim Dish wash Liquid 250ml",8941100659823,12,
"Senora Sanitary Napkin (Belt System)",8941100500415,3,
"Senora Sanitary Napkin (Panty System)",8941100500941,3,
"Good Knight Advanced Coil",8901023012808,6,
"Hit Aerosol Red 400ml (Regular)",8901157025200,3,
"Hit Aerosol Black 400ml",8901023014291,3,
"Godrej Expert Shampoo Hair Color 20ml",8901023018688,16,
"Shad Ata 1kg",075162107110,6,
"Shad Ata 2kg",075111002000,6,
"Mediplus DS 140gm",859875003032,2,
"Mediplus  70gm",859875003018,2,
"Mediplus DS 90gm",859875003049,2,
"English Antilice Shampoo 8ml",859875003124,12,
"Mombati Small",1000000000068,12,
"Mombati Large",1000000000069,12,
"Close Up Toothpaste 10gm",8941102310531,12,
"Salmon Matchbox",1000000000066,72,
"Flamebox Matchbox",1000000000067,72,
Chini(Khola),1000000000070,5,
"Dhoniya Gura",1000000000071,1000,
"Shukna Morich",1000000000072,1,
"Meril Baby Lotion 100ml",8941100500231,3,
"Meril Glycerin 60gm",8941100500903,13,
"Meril Conditioning Nail Polish Remover 40ml",8941100501047,4,
"Meril Petrolium Jelly",8941100500873,13,
"Sepnil Instant Hand Sanitizer 40ml",8941100500606,4,
